dateTime,stationReference,latitude,longitude,parameter,qualifier,unitName,value
2022-11-24T21:30:00Z,023058,54.918811,-2.328264,level,Reservoir Level,m,0.249
2022-11-24T21:30:00Z,4086,52.573856,-1.13453,flow,,m3/s,3.352
2022-11-24T21:30:00Z,4086,52.573856,-1.13453,level,Stage,mASD,1.514
2022-11-24T21:30:00Z,737536,54.307391,-3.091306,level,Stage,m,1.234
2022-11-24T21:30:00Z,024005,54.742586,-1.59921,level,Stage,m,0.52
2022-11-24T04:30:00Z,E1521,52.227978,-0.934098,level,Stage,mASD,-0.053
2022-11-24T16:00:00Z,47125,50.34269,-4.005399,level,Stage,m,0.71
2022-11-24T21:30:00Z,4049,53.309224,-1.138194,level,Stage,mASD,0.452
2022-11-24T11:15:00Z,E26141,52.145941,-0.521734,level,Stage,mAOD,29.325
2022-11-24T21:30:00Z,694460,53.384181,-2.825909,level,Stage,m,0.803
2022-11-24T13:45:00Z,E21325,52.147499,-0.708027,level,Stage,mASD,0.24
2022-11-24T21:30:00Z,L3602,54.512373,-1.355879,level,Stage,m,0.703
2022-11-24T21:30:00Z,L1907,54.143807,-2.050474,level,Stage,m,0.769
2022-11-24T21:30:00Z,712221,53.794282,-2.306373,level,Stage,m,0.309
2022-11-24T21:30:00Z,L2024,53.874564,-1.253163,level,Stage,mAOD,6.675
2022-11-24T18:00:00Z,5141TH,51.878177,0.160906,level,Stage,mASD,0.306
2022-11-24T21:30:00Z,4174,52.619792,-1.146475,level,Stage,mASD,0.339
2022-11-24T21:30:00Z,5171TH,51.795404,0.134177,level,Stage,mASD,1.187
2022-11-24T21:15:00Z,L3491,53.727084,-0.585836,level,Tidal Level,mAOD,1.577
2022-11-24T21:30:00Z,2601TH,51.560993,-0.694635,level,Downstream Stage,mASD,2.938
2022-11-24T21:30:00Z,2601TH,51.560993,-0.694635,level,Stage,mASD,0.076
2022-11-24T20:30:00Z,E23327,52.958281,0.849573,level,Tidal Level,mASD,1.382
2022-11-24T21:30:00Z,1303TH,51.74909,-1.272781,level,Downstream Stage,mASD,2.785
2022-11-24T21:30:00Z,1303TH,51.74909,-1.272781,level,Stage,mASD,-0.04
2022-11-24T21:30:00Z,2469_w2TH,51.377564,-0.952526,level,Downstream Stage,mASD,0.588
2022-11-24T21:30:00Z,2469_w2TH,51.377564,-0.952526,level,Stage,mASD,0.658
2022-11-24T21:30:00Z,4389TH,51.45563,0.00613,level,Stage,mASD,0.192
2022-11-24T18:30:00Z,023011,55.245179,-2.561466,level,Stage,m,0.378
2022-11-24T21:30:00Z,E5320,53.144479,0.086945,level,Stage,mASD,0.708
2022-11-24T06:00:00Z,48184,50.336116,-4.633573,level,Tidal Level,mAOD,2.783
2022-11-24T21:30:00Z,E13810,51.166603,-1.441818,level,Stage,mASD,0.22
2022-11-24T21:30:00Z,2293TH,51.385195,-1.002649,level,Stage,mASD,1.325
2022-11-24T21:30:00Z,E14521,50.763011,-1.536709,level,Tidal Level,mAOD,0.895
2022-11-24T21:15:00Z,E21042,52.131783,-0.962049,level,Stage,m,0.668
2022-11-24T21:30:00Z,E4832,52.229209,-1.080484,level,Stage,mASD,0.317
2022-11-24T04:30:00Z,2813TH,51.838108,-0.461149,level,Downstream Stage,mASD,0.01
2022-11-24T04:30:00Z,2813TH,51.838108,-0.461149,level,Stage,mASD,0.001
2022-11-24T21:30:00Z,F0605,53.413872,-1.415842,level,Stage,m,0.588
2022-11-24T21:30:00Z,F2560,54.260305,-0.919219,level,Stage,m,0.542
2022-11-24T21:15:00Z,E21005,52.131206,0.205231,level,Stage,m,0.124
2022-11-24T21:00:00Z,531159,51.421461,-2.492956,level,Stage,mAOD,8.831
2022-11-24T21:15:00Z,L2200,54.053636,-1.288144,level,Stage,m,1.621
2022-11-24T21:30:00Z,E10389,50.999232,-0.786847,level,Stage,mASD,0.532
2022-11-24T21:30:00Z,5280TH,51.770008,0.006126,flow,,m3/s,4.32
2022-11-24T21:30:00Z,5280TH,51.770008,0.006126,level,Stage,mASD,2.801
2022-11-24T21:30:00Z,52113,51.023159,-2.565568,level,Stage,m,0.357
2022-11-24T21:00:00Z,45235,50.841739,-2.916366,level,Stage,m,0.839
