stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
0925SE,Rainfall station,51.207877,1.383789,,,,
1003SO,West Gate Gardens,51.280821,1.073832,1.472,0.162,0.9500000000000001,0.232
1020TH,Bourton Windrush,51.886693,-1.767911,0.597,0.004,0.24,0.082
1023SE,Rainfall station,51.294661,1.108973,,,,
1029TH,Bourton Dickler,51.874767,-1.740083,0.8200000000000001,0.05,0.42,0.068
1040,Rainfall station,52.309441,-1.774803,,,,
1045,Rainfall station,52.362576,-1.508732,,,,
1080TH,Worsham,51.793689,-1.564378,1.634,0.262,1.62,0.303
1082,Rainfall station,52.186855,-1.418519,,,,
1082TH,Witney,51.789786,-1.484269,2.45,0.39,1.4,0.464
1086,Rainfall station,52.174506,-1.736002,,,,
1087,Rainfall station,52.067173,-1.611177,,,,
1090_w1TH,Newbridge Weir A,51.713499,-1.420988,0.986,0.07200000000000001,0.44,0.131
1090_w2TH,Newbridge Weir B,51.713499,-1.420988,0.847,-0.085,0.34900000000000003,0.004
1099TH,Northmoor Lock,51.716858,-1.374624,1.35,-0.51,0.38,-0.004
1100TH,Farmoor,51.757544,-1.366384,2.006,0.508,1.3,0.5
1102TH,Pinkhill Lock,51.761748,-1.362413,1.061,-0.226,0.4,0
1112,Rainfall station,51.684691,-2.162673,,,,
1113,Rainfall station,51.799795,-2.148586,,,,
1113SO,Sellindge,51.099225,1.00828,1.3,0.18,0.85,0.224
1119,Rainfall station,52.031946,-2.435056,,,,
1121,Rainfall station,52.718322,-2.717219,,,,
1140,Rainfall station,51.875411,-2.019556,,,,
1141,Rainfall station,51.777374,-2.093434,,,,
1155,Rainfall station,52.417004,-1.12584,,,,
1165,Rainfall station,52.205609,-1.605581,,,,
1201,Rainfall station,52.343809,-1.955178,,,,
1201TH,Eynsham Lock,51.774692,-1.356854,1.187,-0.363,0.37,0.038
1208TH,Moreton,51.988876,-1.697906,1.461,0.08700000000000001,1.21,0.095
1210TH,Evenlode Bridge,51.95095,-1.679842,2.8,0.373,1.6800000000000002,0.405
1236TH,Littlestock Brook (Temporary),51.865237,-1.618104,0.524,0.079,0.2,0.079
1238TH,Shipton,51.861678,-1.594363,3.23,0.517,2.02,0.5630000000000001
1285SO,Black Bull Road,51.085655,1.177662,0.767,0.076,1.206,0.082
1289TH,Woodstock,51.864215,-1.356609,1.1219999999999999,0.031,0.75,0.05
1290_w1TH,Cassington Weir A,51.786053,-1.351198,1.091,0.026000000000000002,0.9,0.085
1290_w2TH,Cassington Weir B,51.786053,-1.351198,1.292,0.088,0.77,0.14400000000000002
1301TH,Kings Lock,51.789307,-1.306931,0.977,-0.811,0.30000000000000004,0
1302TH,Godstow Lock,51.776669,-1.298428,0.52,-0.47700000000000004,0.225,0.05
1303TH,Osney Lock,51.74909,-1.272781,0.341,-0.312,0.12,-0.15
1331,Rainfall station,52.596394,-2.471631,,,,
1332,Rainfall station,52.589321,-2.78744,,,,
1335,Rainfall station,52.863499,-3.123644,,,,
1339,Rainfall station,52.718219,-2.570654,,,,
1387,Rainfall station,52.424304,-3.172736,,,,
1408TH,Woodford Halse,52.167771,-1.212815,2.914,0.834,2,0.848
1409,Rainfall station,52.59735,-3.029712,,,,
1412,Rainfall station,52.47914,-2.975413,,,,
1413,Rainfall station,52.325619,-2.226643,,,,
1414TH, Huscote FAS,52.08027,-1.319158,,,,
1415TH,Hardwick FAS,52.081936,-1.321103,,,,
1416TH,Cropredy Bridge,52.114915,-1.315184,2.732,0.867,2.192,1.044
1420TH,Banbury,52.066379,-1.333286,2.392,0.003,1.1400000000000001,0.02
1431TH,Bloxham,52.017279,-1.380792,2.23,0.597,1.11,0.636
1437TH,Bodicote,52.028582,-1.326852,1.3,0.041,0.58,0.058
1453TH,Heyford Bridge,51.920573,-1.306366,2.569,0.28600000000000003,1.3,0.361
1460_w1TH,Enslow Weir A,51.861393,-1.30321,2.103,0.10300000000000001,1.29,0.14300000000000002
1460_w2TH,RIVER CHERWELL  AT  ENSLOW,51.861438,-1.303137,,,,
